0:	0 1 42 
1:	0 1 420 
2:	0 20 52 
3:	0 20 433 
4:	0 42 52 
5:	0 42 420 
6:	0 52 420 
7:	0 52 433 
8:	0 420 433 
9:	1 2 64 
10:	1 2 421 
11:	1 42 64 
12:	1 42 420 
13:	1 42 497 
14:	1 64 421 
15:	1 64 497 
16:	1 420 421 
17:	1 420 497 
18:	1 421 497 
19:	2 3 43 
20:	2 3 421 
21:	2 43 64 
22:	2 43 421 
23:	2 64 421 
24:	3 4 65 
25:	3 4 422 
26:	3 43 65 
27:	3 43 421 
28:	3 43 422 
29:	3 65 422 
30:	3 421 422 
31:	4 5 44 
32:	4 5 423 
33:	4 44 65 
34:	4 44 423 
35:	4 44 503 
36:	4 65 422 
37:	4 65 503 
38:	4 422 423 
39:	4 422 503 
40:	4 423 503 
41:	5 6 66 
42:	5 6 423 
43:	5 44 66 
44:	5 44 423 
45:	5 66 423 
46:	6 7 45 
47:	6 7 424 
48:	6 45 66 
49:	6 45 424 
50:	6 66 423 
51:	6 66 424 
52:	6 423 424 
53:	7 8 67 
54:	7 8 425 
55:	7 45 67 
56:	7 45 424 
57:	7 67 424 
58:	7 67 425 
59:	7 424 425 
60:	8 9 46 
61:	8 9 425 
62:	8 46 67 
63:	8 46 425 
64:	8 67 425 
65:	9 10 68 
66:	9 10 426 
67:	9 46 68 
68:	9 46 425 
69:	9 46 510 
70:	9 68 426 
71:	9 68 510 
72:	9 425 426 
73:	9 425 510 
74:	9 426 510 
75:	10 11 47 
76:	10 11 427 
77:	10 47 68 
78:	10 47 426 
79:	10 47 427 
80:	10 68 426 
81:	10 426 427 
82:	11 12 69 
83:	11 12 427 
84:	11 47 69 
85:	11 47 427 
86:	11 69 427 
87:	12 13 48 
88:	12 13 428 
89:	12 48 69 
90:	12 48 428 
91:	12 48 519 
92:	12 69 427 
93:	12 69 519 
94:	12 427 428 
95:	12 427 519 
96:	12 428 519 
97:	13 14 70 
98:	13 14 429 
99:	13 48 70 
100:	13 48 428 
101:	13 70 428 
102:	13 70 429 
103:	13 428 429 
104:	14 15 49 
105:	14 15 429 
106:	14 49 70 
107:	14 49 429 
108:	14 70 429 
109:	15 16 71 
110:	15 16 430 
111:	15 49 71 
112:	15 49 429 
113:	15 49 521 
114:	15 71 430 
115:	15 71 521 
116:	15 429 430 
117:	15 429 521 
118:	15 430 521 
119:	16 17 50 
120:	16 17 431 
121:	16 50 71 
122:	16 50 431 
123:	16 50 581 
124:	16 71 430 
125:	16 71 581 
126:	16 430 431 
127:	16 430 581 
128:	16 431 581 
129:	17 18 72 
130:	17 18 431 
131:	17 50 72 
132:	17 50 431 
133:	17 72 431 
134:	18 19 51 
135:	18 19 432 
136:	18 51 72 
137:	18 51 432 
138:	18 72 431 
139:	18 72 432 
140:	18 431 432 
141:	19 20 73 
142:	19 20 433 
143:	19 51 73 
144:	19 51 432 
145:	19 73 432 
146:	19 73 433 
147:	19 432 433 
148:	20 52 73 
149:	20 52 433 
150:	20 73 433 
151:	21 22 53 
152:	21 22 442 
153:	21 41 63 
154:	21 41 455 
155:	21 53 63 
156:	21 53 442 
157:	21 53 529 
158:	21 63 455 
159:	21 63 529 
160:	21 442 455 
161:	21 442 529 
162:	21 455 529 
163:	22 23 74 
164:	22 23 443 
165:	22 53 74 
166:	22 53 442 
167:	22 74 442 
168:	22 74 443 
169:	22 442 443 
170:	23 24 54 
171:	23 24 443 
172:	23 54 74 
173:	23 54 443 
174:	23 74 443 
175:	24 25 75 
176:	24 25 444 
177:	24 54 75 
178:	24 54 443 
179:	24 54 540 
180:	24 75 444 
181:	24 75 540 
182:	24 443 444 
183:	24 443 540 
184:	24 444 540 
185:	25 26 55 
186:	25 26 445 
187:	25 55 75 
188:	25 55 445 
189:	25 55 539 
190:	25 75 444 
191:	25 75 539 
192:	25 444 445 
193:	25 444 539 
194:	25 445 539 
195:	26 27 76 
196:	26 27 445 
197:	26 55 76 
198:	26 55 445 
199:	26 76 445 
200:	27 28 56 
201:	27 28 446 
202:	27 56 76 
203:	27 56 446 
204:	27 76 445 
205:	27 76 446 
206:	27 445 446 
207:	28 29 77 
208:	28 29 447 
209:	28 56 77 
210:	28 56 446 
211:	28 77 446 
212:	28 77 447 
213:	28 446 447 
214:	29 30 57 
215:	29 30 447 
216:	29 57 77 
217:	29 57 447 
218:	29 77 447 
219:	30 31 78 
220:	30 31 448 
221:	30 57 78 
222:	30 57 447 
223:	30 57 448 
224:	30 78 448 
225:	30 447 448 
226:	31 32 58 
227:	31 32 449 
228:	31 58 78 
229:	31 58 448 
230:	31 58 449 
231:	31 78 448 
232:	31 448 449 
233:	32 33 79 
234:	32 33 449 
235:	32 58 79 
236:	32 58 449 
237:	32 79 449 
238:	33 34 59 
239:	33 34 450 
240:	33 59 79 
241:	33 59 450 
242:	33 59 543 
243:	33 79 449 
244:	33 79 543 
245:	33 449 450 
246:	33 449 543 
247:	33 450 543 
248:	34 35 80 
249:	34 35 451 
250:	34 59 80 
251:	34 59 450 
252:	34 59 542 
253:	34 80 451 
254:	34 80 542 
255:	34 450 451 
256:	34 450 542 
257:	34 451 542 
258:	35 36 60 
259:	35 36 451 
260:	35 60 80 
261:	35 60 451 
262:	35 80 451 
263:	36 37 81 
264:	36 37 452 
265:	36 60 81 
266:	36 60 451 
267:	36 60 548 
268:	36 81 452 
269:	36 81 548 
270:	36 451 452 
271:	36 451 548 
272:	36 452 548 
273:	37 38 61 
274:	37 38 453 
275:	37 61 81 
276:	37 61 453 
277:	37 61 535 
278:	37 81 452 
279:	37 81 535 
280:	37 452 453 
281:	37 452 535 
282:	37 453 535 
283:	38 39 82 
284:	38 39 453 
285:	38 61 82 
286:	38 61 453 
287:	38 82 453 
288:	39 40 62 
289:	39 40 454 
290:	39 62 82 
291:	39 62 454 
292:	39 82 453 
293:	39 82 454 
294:	39 453 454 
295:	40 41 83 
296:	40 41 455 
297:	40 62 83 
298:	40 62 454 
299:	40 83 454 
300:	40 83 455 
301:	40 454 455 
302:	41 63 83 
303:	41 63 455 
304:	41 83 455 
305:	42 52 106 
306:	42 52 420 
307:	42 52 589 
308:	42 64 84 
309:	42 64 497 
310:	42 84 106 
311:	42 84 497 
312:	42 106 497 
313:	42 106 589 
314:	42 420 497 
315:	42 420 589 
316:	42 497 589 
317:	43 64 117 
318:	43 64 421 
319:	43 64 497 
320:	43 65 105 
321:	43 65 422 
322:	43 65 568 
323:	43 105 117 
324:	43 105 568 
325:	43 117 497 
326:	43 117 568 
327:	43 421 422 
328:	43 421 497 
329:	43 421 568 
330:	43 422 568 
331:	43 497 568 
332:	44 65 103 
333:	44 65 503 
334:	44 66 85 
335:	44 66 423 
336:	44 66 503 
337:	44 85 103 
338:	44 85 503 
339:	44 103 503 
340:	44 423 503 
341:	45 66 108 
342:	45 66 424 
343:	45 66 504 
344:	45 66 513 
345:	45 67 86 
346:	45 67 424 
347:	45 67 508 
348:	45 86 108 
349:	45 86 508 
350:	45 86 513 
351:	45 108 513 
352:	45 424 504 
353:	45 424 508 
354:	45 504 508 
355:	45 504 513 
356:	45 508 513 
357:	46 67 109 
358:	46 67 425 
359:	46 67 508 
360:	46 68 87 
361:	46 68 510 
362:	46 87 109 
363:	46 87 510 
364:	46 109 508 
365:	46 109 510 
366:	46 425 508 
367:	46 425 510 
368:	46 508 510 
369:	47 68 110 
370:	47 68 426 
371:	47 68 510 
372:	47 69 88 
373:	47 69 427 
374:	47 69 519 
375:	47 88 110 
376:	47 88 512 
377:	47 88 519 
378:	47 110 510 
379:	47 110 512 
380:	47 426 427 
381:	47 426 510 
382:	47 427 510 
383:	47 427 512 
384:	47 427 519 
385:	47 510 512 
386:	47 512 519 
387:	48 69 111 
388:	48 69 519 
389:	48 70 89 
390:	48 70 428 
391:	48 70 520 
392:	48 89 111 
393:	48 89 519 
394:	48 89 520 
395:	48 111 519 
396:	48 428 519 
397:	48 428 520 
398:	48 519 520 
399:	49 70 112 
400:	49 70 429 
401:	49 70 520 
402:	49 71 90 
403:	49 71 521 
404:	49 90 112 
405:	49 90 521 
406:	49 112 520 
407:	49 112 521 
408:	49 429 520 
409:	49 429 521 
410:	49 520 521 
411:	50 71 113 
412:	50 71 581 
413:	50 72 91 
414:	50 72 431 
415:	50 72 581 
416:	50 91 113 
417:	50 91 581 
418:	50 113 581 
419:	50 431 581 
420:	51 72 114 
421:	51 72 432 
422:	51 72 523 
423:	51 73 92 
424:	51 73 432 
425:	51 73 588 
426:	51 92 114 
427:	51 92 523 
428:	51 92 588 
429:	51 114 523 
430:	51 432 523 
431:	51 432 588 
432:	51 523 588 
433:	52 73 115 
434:	52 73 433 
435:	52 73 588 
436:	52 106 115 
437:	52 106 589 
438:	52 115 588 
439:	52 115 589 
440:	52 420 433 
441:	52 420 589 
442:	52 433 588 
443:	52 433 589 
444:	52 588 589 
445:	53 63 107 
446:	53 63 529 
447:	53 74 104 
448:	53 74 442 
449:	53 74 529 
450:	53 104 107 
451:	53 104 529 
452:	53 107 529 
453:	53 442 529 
454:	54 74 94 
455:	54 74 443 
456:	54 74 540 
457:	54 75 93 
458:	54 75 540 
459:	54 93 94 
460:	54 93 540 
461:	54 94 540 
462:	54 443 540 
463:	55 75 118 
464:	55 75 539 
465:	55 76 95 
466:	55 76 445 
467:	55 76 539 
468:	55 95 118 
469:	55 95 539 
