0:	420 
1:	42 
2:	433 
3:	52 
4:	420 
5:	1 52 
6:	42 433 
7:	20 420 
8:	52 
9:	421 
10:	64 
11:	497 
12:	0 497 
13:	64 420 
14:	2 497 
15:	42 421 
16:	497 
17:	42 421 
18:	64 420 
19:	421 
20:	43 
21:	421 
22:	3 64 
23:	1 43 
24:	422 
25:	65 
26:	422 
27:	2 422 
28:	65 421 
29:	4 43 
30:	43 
31:	423 
32:	44 
33:	503 
34:	5 503 
35:	65 423 
36:	3 503 
37:	44 422 
38:	503 
39:	65 423 
40:	44 422 
41:	423 
42:	66 
43:	423 
44:	4 66 
45:	6 44 
46:	424 
47:	45 
48:	424 
49:	7 66 
50:	5 424 
51:	45 423 
52:	66 
53:	425 
54:	67 
55:	424 
56:	6 67 
57:	45 425 
58:	8 424 
59:	67 
60:	425 
61:	46 
62:	425 
63:	9 67 
64:	7 46 
65:	426 
66:	68 
67:	510 
68:	8 510 
69:	68 425 
70:	10 510 
71:	46 426 
72:	510 
73:	46 426 
74:	68 425 
75:	427 
76:	47 
77:	426 
78:	68 427 
79:	11 426 
80:	9 47 
81:	47 
82:	427 
83:	69 
84:	427 
85:	10 69 
86:	12 47 
87:	428 
88:	48 
89:	519 
90:	13 519 
91:	69 428 
92:	11 519 
93:	48 427 
94:	519 
95:	69 428 
96:	48 427 
97:	429 
98:	70 
99:	428 
100:	12 70 
101:	48 429 
102:	14 428 
103:	70 
104:	429 
105:	49 
106:	429 
107:	15 70 
108:	13 49 
109:	430 
110:	71 
111:	521 
112:	14 521 
113:	71 429 
114:	16 521 
115:	49 430 
116:	521 
117:	49 430 
118:	71 429 
119:	431 
120:	50 
121:	581 
122:	17 581 
123:	71 431 
124:	15 581 
125:	50 430 
126:	581 
127:	71 431 
128:	50 430 
129:	431 
130:	72 
131:	431 
132:	16 72 
133:	18 50 
134:	432 
135:	51 
136:	432 
137:	19 72 
138:	17 432 
139:	51 431 
140:	72 
141:	433 
142:	73 
143:	432 
144:	18 73 
145:	51 433 
146:	20 432 
147:	73 
148:	433 
149:	0 73 
150:	19 52 
151:	442 
152:	53 
153:	455 
154:	63 
155:	529 
156:	22 529 
157:	63 442 
158:	41 529 
159:	53 455 
160:	529 
161:	53 455 
162:	63 442 
163:	443 
164:	74 
165:	442 
166:	21 74 
167:	53 443 
168:	23 442 
169:	74 
170:	443 
171:	54 
172:	443 
173:	24 74 
174:	22 54 
175:	444 
176:	75 
177:	540 
178:	23 540 
179:	75 443 
180:	25 540 
181:	54 444 
182:	540 
183:	54 444 
184:	75 443 
185:	445 
186:	55 
187:	539 
188:	26 539 
189:	75 445 
190:	24 539 
191:	55 444 
192:	539 
193:	75 445 
194:	55 444 
195:	445 
196:	76 
197:	445 
198:	25 76 
199:	27 55 
200:	446 
201:	56 
202:	446 
203:	28 76 
204:	26 446 
205:	56 445 
206:	76 
207:	447 
208:	77 
209:	446 
210:	27 77 
211:	56 447 
212:	29 446 
213:	77 
214:	447 
215:	57 
216:	447 
217:	30 77 
218:	28 57 
219:	448 
220:	78 
221:	448 
222:	29 448 
223:	78 447 
224:	31 57 
225:	57 
226:	449 
227:	58 
228:	448 
229:	78 449 
230:	32 448 
231:	30 58 
232:	58 
233:	449 
234:	79 
235:	449 
236:	31 79 
237:	33 58 
238:	450 
239:	59 
240:	543 
241:	34 543 
242:	79 450 
243:	32 543 
244:	59 449 
245:	543 
246:	79 450 
247:	59 449 
248:	451 
249:	80 
250:	542 
251:	33 542 
252:	80 450 
253:	35 542 
254:	59 451 
255:	542 
256:	59 451 
257:	80 450 
258:	451 
259:	60 
260:	451 
261:	36 80 
262:	34 60 
263:	452 
264:	81 
265:	548 
266:	35 548 
267:	81 451 
268:	37 548 
269:	60 452 
270:	548 
271:	60 452 
272:	81 451 
273:	453 
274:	61 
275:	535 
276:	38 535 
277:	81 453 
278:	36 535 
279:	61 452 
280:	535 
281:	81 453 
282:	61 452 
283:	453 
284:	82 
285:	453 
286:	37 82 
287:	39 61 
288:	454 
289:	62 
290:	454 
291:	40 82 
292:	38 454 
293:	62 453 
294:	82 
295:	455 
296:	83 
297:	454 
298:	39 83 
299:	62 455 
300:	41 454 
301:	83 
302:	455 
303:	21 83 
304:	40 63 
305:	589 
306:	0 589 
307:	106 420 
308:	497 
309:	1 84 
310:	497 
311:	64 106 
312:	84 589 
313:	52 497 
314:	1 589 
315:	52 497 
316:	106 420 
317:	497 
318:	2 497 
319:	117 421 
320:	568 
321:	3 568 
322:	105 422 
323:	568 
324:	65 117 
325:	64 568 
326:	105 497 
327:	3 568 
328:	64 568 
329:	422 497 
330:	65 421 
331:	117 421 
332:	503 
333:	4 103 
334:	503 
335:	5 503 
336:	85 423 
337:	503 
338:	66 103 
339:	65 85 
340:	4 66 
341:	513 
342:	6 504 
343:	424 513 
344:	108 504 
345:	508 
346:	7 508 
347:	86 424 
348:	513 
349:	67 513 
350:	108 508 
351:	66 86 
352:	66 508 
353:	67 504 
354:	424 513 
355:	66 508 
356:	86 504 
357:	508 
358:	8 508 
359:	109 425 
360:	510 
361:	9 87 
362:	510 
363:	68 109 
364:	67 510 
365:	87 508 
366:	67 510 
367:	9 508 
368:	109 425 
369:	510 
370:	10 510 
371:	110 426 
372:	519 
373:	11 519 
374:	88 427 
375:	512 
376:	110 519 
377:	69 512 
378:	68 512 
379:	88 510 
380:	10 510 
381:	68 427 
382:	426 512 
383:	510 519 
384:	69 512 
385:	110 427 
386:	88 427 
387:	519 
388:	12 111 
389:	520 
390:	13 520 
391:	89 428 
392:	519 
393:	111 520 
394:	70 519 
395:	69 89 
396:	12 520 
397:	70 519 
398:	89 428 
399:	520 
400:	14 520 
401:	112 429 
402:	521 
403:	15 90 
404:	521 
405:	71 112 
406:	70 521 
407:	90 520 
408:	70 521 
409:	15 520 
410:	112 429 
411:	581 
412:	16 113 
413:	581 
414:	17 581 
415:	91 431 
416:	581 
417:	72 113 
418:	71 91 
419:	16 72 
420:	523 
421:	18 523 
422:	114 432 
423:	588 
424:	19 588 
425:	92 432 
426:	523 
427:	114 588 
428:	73 523 
429:	72 92 
430:	72 588 
431:	73 523 
432:	92 432 
433:	588 
434:	20 588 
435:	115 433 
436:	589 
437:	42 115 
438:	73 589 
439:	106 588 
440:	0 589 
441:	42 433 
442:	73 589 
443:	420 588 
444:	115 433 
445:	529 
446:	21 107 
447:	529 
448:	22 529 
449:	104 442 
450:	529 
451:	74 107 
452:	63 104 
453:	21 74 
454:	540 
455:	23 540 
456:	94 443 
