0:	2600 
1:	2600 
2:	2599 
3:	2599 
4:	1032 
5:	1032 2600 
6:	1032 1589 
7:	1589 2599 
8:	1589 
9:	2855 
10:	2855 
11:	2611 
12:	639 2600 
13:	639 2611 
14:	2612 2855 
15:	2611 2612 
16:	936 
17:	639 936 
18:	936 2612 
19:	1968 
20:	1968 
21:	1115 
22:	1115 1968 
23:	1115 2855 
24:	1332 
25:	1332 
26:	2047 
27:	1968 2069 
28:	2047 2069 
29:	1332 2047 
30:	2069 
31:	2437 
32:	2437 
33:	859 
34:	2433 2437 
35:	859 2433 
36:	1332 2311 
37:	859 2311 
38:	3518 
39:	2311 3518 
40:	2433 3518 
41:	839 
42:	839 
43:	2434 
44:	2434 2437 
45:	839 2434 
46:	1567 
47:	1567 
48:	2244 
49:	1567 2244 
50:	839 2255 
51:	2244 2255 
52:	2255 
53:	3570 
54:	3570 
55:	1804 
56:	1567 1804 
57:	1804 3563 
58:	3563 3570 
59:	3563 
60:	2217 
61:	2217 
62:	2210 
63:	2210 2217 
64:	2210 3570 
65:	2145 
66:	2145 
67:	2643 
68:	2142 2217 
69:	2142 2643 
70:	456 2145 
71:	456 2643 
72:	2134 
73:	2134 2142 
74:	456 2134 
75:	2207 
76:	2207 
77:	452 
78:	452 549 
79:	549 2207 
80:	452 2145 
81:	549 
82:	219 
83:	219 
84:	833 
85:	833 2207 
86:	219 833 
87:	1406 
88:	1406 
89:	2668 
90:	37 1406 
91:	37 2668 
92:	219 1114 
93:	1114 2668 
94:	977 
95:	977 1114 
96:	37 977 
97:	1576 
98:	1576 
99:	1044 
100:	1044 1406 
101:	1044 2616 
102:	1576 2616 
103:	2616 
104:	2559 
105:	2559 
106:	585 
107:	585 2559 
108:	585 1576 
109:	3272 
110:	3272 
111:	2453 
112:	571 2559 
113:	571 2453 
114:	3271 3272 
115:	2453 3271 
116:	3273 
117:	571 3273 
118:	3271 3273 
119:	2442 
120:	2442 
121:	2562 
122:	2442 2485 
123:	2485 2562 
124:	1058 3272 
125:	1058 2562 
126:	2480 
127:	1058 2480 
128:	2480 2485 
129:	3640 
130:	3640 
131:	3641 
132:	2442 3641 
133:	3640 3641 
134:	1370 
135:	1370 
136:	3322 
137:	1370 3322 
138:	1575 3640 
139:	1575 3322 
140:	1575 
141:	2167 
142:	2167 
143:	2514 
144:	1370 2514 
145:	2200 2514 
146:	2167 2200 
147:	2200 
148:	404 
149:	404 2599 
150:	404 2167 
151:	767 
152:	767 
153:	2923 
154:	2923 
155:	1911 
156:	767 1028 
157:	1028 1911 
158:	1923 2923 
159:	1911 1923 
160:	2650 
161:	1028 2650 
162:	1923 2650 
163:	2579 
164:	2579 
165:	626 
166:	626 767 
167:	626 1837 
168:	1837 2579 
169:	1837 
170:	1326 
171:	1326 
172:	1295 
173:	1295 1326 
174:	1295 2579 
175:	1004 
176:	1004 
177:	1595 
178:	1326 1632 
179:	1595 1632 
180:	953 1004 
181:	953 1595 
182:	2039 
183:	1632 2039 
184:	953 2039 
185:	1535 
186:	1535 
187:	3279 
188:	1535 3526 
189:	3279 3526 
190:	224 1004 
191:	224 3279 
192:	3628 
193:	224 3628 
194:	3526 3628 
195:	1342 
196:	1342 
197:	817 
198:	817 1535 
199:	817 1342 
200:	2493 
201:	2493 
202:	2516 
203:	2493 2516 
204:	1342 2513 
205:	2513 2516 
206:	2513 
207:	1865 
208:	1865 
209:	414 
210:	414 2493 
211:	414 2221 
212:	1865 2221 
213:	2221 
214:	1209 
215:	1209 
216:	1264 
217:	1209 1264 
218:	1264 1865 
219:	2117 
220:	2117 
221:	362 
222:	1209 1218 
223:	362 1218 
224:	362 2117 
225:	1218 
226:	3225 
