0:	12 149 306 440 
1:	5 23 309 314 573 3881 
2:	14 27 318 
3:	22 36 321 327 
4:	29 44 333 340 578 3899 
5:	34 50 335 
6:	45 56 342 585 
7:	49 64 346 595 
8:	58 68 358 
9:	63 80 361 367 601 3923 
10:	70 85 370 380 
11:	79 92 373 
12:	86 100 388 396 605 3938 
13:	90 108 390 609 
14:	102 112 400 
15:	107 124 403 409 616 3955 
16:	114 132 412 419 617 3964 
17:	122 138 414 
18:	133 144 421 623 
19:	137 150 424 631 
20:	7 146 434 
21:	166 303 446 453 568 4086 
22:	156 174 448 639 
23:	168 178 455 
24:	173 190 458 462 652 4093 
25:	180 198 464 471 651 4096 
26:	188 204 466 
27:	199 210 473 661 
28:	203 218 476 671 
29:	212 222 483 
30:	217 231 486 492 
31:	224 236 498 508 
32:	230 243 501 
33:	237 251 516 524 681 4126 
34:	241 262 518 523 685 4131 
35:	253 266 527 
36:	261 278 530 536 691 4141 
37:	268 286 539 546 690 4149 
38:	276 292 541 
39:	287 298 548 697 
40:	291 304 551 705 
41:	158 300 561 
42:	1 6 15 17 437 441 571 711 966 3890 
43:	20 23 29 30 572 573 577 579 952 1043 3892 3897 
44:	32 37 40 45 575 582 586 721 
45:	47 51 57 584 588 591 593 596 733 743 3921 5196 
46:	61 64 71 73 594 597 599 746 990 3927 
47:	76 80 81 86 600 601 603 605 755 764 999 3931 3942 3943 
48:	88 93 96 101 604 607 610 770 779 3953 
49:	105 108 115 117 608 611 613 785 1009 3959 
50:	120 125 128 133 615 621 625 796 
51:	135 139 145 622 626 629 632 807 817 3992 
52:	3 5 8 150 313 315 630 633 960 1034 3883 3995 
53:	152 159 161 167 565 637 640 945 
54:	171 174 181 183 636 642 647 819 
55:	186 191 194 199 649 657 662 839 
56:	201 205 211 659 664 669 672 849 
57:	215 218 224 225 670 673 675 677 863 1060 4116 4119 
58:	227 231 232 237 676 677 679 681 872 879 1073 4121 4129 5787 
59:	239 244 247 254 256 680 683 881 889 4137 
60:	259 262 269 271 684 685 687 893 1088 4145 
61:	274 279 282 287 688 694 698 906 
62:	289 293 299 696 700 703 707 921 930 4172 
63:	154 157 162 304 452 704 708 709 969 976 
64:	10 13 18 22 311 325 328 713 
65:	25 28 35 39 324 330 339 933 940 3906 
66:	42 44 49 52 338 340 351 352 355 724 730 3909 3912 5185 
67:	54 56 59 63 349 353 364 366 736 3916 
68:	66 69 74 78 363 378 381 749 
69:	83 85 91 95 377 384 395 758 
70:	98 100 103 107 394 397 406 408 773 3945 
71:	110 113 118 123 127 405 418 788 1019 3972 
72:	130 132 137 140 417 419 429 430 798 804 3976 3980 
73:	142 144 147 149 428 431 438 442 810 3982 
74:	164 166 169 173 451 453 461 462 828 833 950 4084 4091 5554 
75:	176 179 184 189 193 460 470 822 826 1052 4104 5750 
76:	196 198 203 206 469 471 480 481 837 846 1038 4106 4109 5753 
77:	208 210 213 217 479 481 490 493 852 4111 
78:	220 223 229 489 495 506 509 866 
79:	234 236 242 246 504 510 522 874 
80:	249 252 257 261 520 533 535 884 
81:	264 267 272 277 281 532 545 896 1096 4154 
82:	284 286 291 294 544 546 556 557 909 916 4158 4161 
83:	296 298 301 303 555 558 567 568 569 924 4163 4170 
84:	309 312 572 962 1042 1044 1252 1357 
85:	336 339 584 590 936 939 981 1137 1143 5188 
86:	347 351 356 594 982 986 987 1164 1172 5214 
87:	361 365 600 985 991 994 996 1124 
88:	374 379 386 604 993 1000 1003 1004 1180 1428 5307 5308 
89:	391 395 398 608 1002 1004 1008 1011 1189 1198 5362 5371 
90:	403 407 614 1006 1012 1017 1018 1203 
91:	415 418 622 627 1015 1021 1025 1216 1446 5394 
92:	425 429 432 630 1024 1027 1031 1271 1386 4427 
93:	458 461 650 655 832 835 1050 1330 
94:	456 460 638 645 825 826 948 1343 1401 5734 
95:	467 470 660 666 1036 1049 1053 1235 1245 5758 
96:	477 480 670 1037 1038 1058 1059 1278 1455 5768 
97:	487 491 676 1057 1064 1070 1071 1225 
98:	502 507 513 680 1069 1077 1079 1285 
99:	518 522 525 684 1076 1080 1087 1090 1301 5772 
100:	530 534 689 1085 1091 1095 1098 1313 1476 5834 
101:	542 545 696 701 1094 1097 1100 1102 1149 1158 5705 5869 
102:	552 556 559 704 1101 1102 1105 1390 1409 5899 
103:	333 338 577 580 728 729 956 957 1373 1492 5189 5207 
104:	449 452 635 643 830 973 975 1340 
105:	322 326 576 938 943 1040 1045 1110 
106:	307 311 316 439 717 1029 1033 1350 1356 1358 
107:	446 451 567 569 949 950 1104 1259 1268 1370 5555 5558 
108:	344 350 583 727 740 1134 
109:	359 363 368 593 738 741 751 753 1122 1130 5213 5275 
110:	371 376 385 599 752 753 761 766 1176 1420 5284 5289 
111:	388 393 603 762 767 776 780 1191 
112:	401 405 410 607 778 782 791 793 1201 1209 5363 5367 
113:	412 417 613 618 792 793 800 805 1213 1436 5373 6100 
114:	422 427 620 801 814 1380 
115:	435 437 444 629 812 816 965 967 1273 1485 4423 5167 
116:	474 479 658 667 843 857 859 1238 
